                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1626,                0.97379,                0.81471,                0.36296,                0.44452,                0.36236,                0.23587,                 1.0741,                 1.2889,                 0.8036,             0.00041394,             0.00041394,             0.00041394
                      2,                 1.1456,                0.66631,                0.81076,                0.75204,                0.62194,                 0.6727,                0.43119,                 1.0185,                0.63125,                0.80326,             0.00082239,             0.00082239,             0.00082239
                      3,                 1.2119,                0.71561,                0.80996,                0.91223,                0.56928,                0.69635,                0.40696,                 1.2022,                0.66787,                0.81301,              0.0012226,              0.0012226,              0.0012226
                      4,                  1.204,                0.69234,                0.81196,                0.85345,                0.66562,                0.70964,                0.44831,                 1.0491,                0.56964,                0.79987,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.0963,                0.57436,                 0.8057,                 0.8848,                0.62035,                0.71861,                0.44687,                 1.0301,                0.54062,                 0.8007,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1589,                0.60354,                 0.8111,                0.73198,                0.64022,                0.70235,                 0.4437,                 0.9917,                0.56207,                0.80273,              0.0011881,              0.0011881,              0.0011881
                      7,                   1.04,                0.53083,                0.79785,                0.83916,                 0.7192,                0.76986,                0.48364,                 1.0387,                0.52544,                0.80402,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0711,                0.52821,                 0.7975,                0.90652,                 0.6835,                0.78957,                0.50368,                0.93888,                 0.4837,                 0.7957,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0082,                0.49379,                0.79641,                0.89791,                0.69898,                0.76878,                  0.489,                0.95434,                0.47274,                0.79567,               0.001151,               0.001151,               0.001151
                     10,                 1.0538,                0.51131,                0.80082,                0.84868,                0.71672,                0.76841,                0.50416,                0.95661,                0.48204,                0.79641,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0349,                0.49539,                0.79666,                0.89759,                0.72004,                0.78689,                  0.509,                0.94873,                0.47802,                0.79568,              0.0011263,              0.0011263,              0.0011263
                     12,                0.98766,                0.47353,                0.79396,                0.89746,                0.72854,                0.78432,                0.52669,                0.86487,                 0.4478,                0.79099,              0.0011139,              0.0011139,              0.0011139
                     13,                0.96542,                 0.4617,                0.79091,                0.88094,                0.71695,                0.77245,                0.51889,                0.87975,                0.45808,                0.79095,              0.0011015,              0.0011015,              0.0011015
                     14,                0.97174,                0.46443,                0.79081,                0.93386,                0.72228,                0.78908,                  0.544,                0.87752,                0.43833,                 0.7913,              0.0010891,              0.0010891,              0.0010891
                     15,                0.94329,                0.45452,                0.79109,                0.89194,                0.70636,                0.78914,                 0.5025,                0.91009,                0.44694,                0.79236,              0.0010768,              0.0010768,              0.0010768
                     16,                0.93612,                0.46155,                0.79072,                0.86533,                 0.7418,                0.79059,                0.50792,                0.88477,                0.43785,                0.79227,              0.0010644,              0.0010644,              0.0010644
                     17,                0.98102,                0.47556,                0.79297,                0.90319,                0.73208,                0.78531,                0.51683,                0.94356,                0.47193,                0.79429,               0.001052,               0.001052,               0.001052
                     18,                0.95369,                0.46758,                0.79245,                0.86176,                0.64105,                0.74577,                0.50023,                0.90634,                0.47252,                0.79446,              0.0010396,              0.0010396,              0.0010396
                     19,                0.92683,                0.46033,                   0.79,                 0.8419,                0.69925,                 0.7448,                0.45741,                 0.9811,                0.56799,                0.79647,              0.0010273,              0.0010273,              0.0010273
                     20,                0.94857,                0.48322,                0.78828,                0.83426,                0.75033,                0.78501,                0.52798,                0.85382,                0.44762,                0.78986,              0.0010149,              0.0010149,              0.0010149
                     21,                0.94252,                0.46048,                0.79089,                0.86614,                0.73556,                0.79847,                0.52952,                0.85226,                0.42689,                0.79014,              0.0010025,              0.0010025,              0.0010025
                     22,                0.93307,                0.44863,                0.78849,                0.90488,                0.71352,                  0.789,                0.52253,                0.86369,                0.44548,                0.78862,             0.00099013,             0.00099013,             0.00099013
                     23,                0.89924,                0.43104,                0.78813,                0.91299,                0.71431,                0.79459,                0.51234,                0.99054,                 0.4557,                0.79345,             0.00097775,             0.00097775,             0.00097775
                     24,                0.97724,                0.45671,                0.79264,                 0.9001,                0.73505,                0.79504,                 0.5364,                0.88672,                0.44465,                0.79158,             0.00096537,             0.00096537,             0.00096537
                     25,                0.97482,                 0.4508,                0.78994,                0.92079,                0.74238,                0.79943,                0.52973,                0.90388,                0.43405,                0.79265,               0.000953,               0.000953,               0.000953
                     26,                0.90935,                0.42791,                0.78846,                0.91175,                0.71293,                0.82042,                0.53487,                0.87311,                0.42579,                0.78997,             0.00094062,             0.00094062,             0.00094062
                     27,                0.88194,                0.41591,                0.78509,                0.91914,                0.76633,                0.81603,                0.55527,                0.85074,                0.41946,                0.78908,             0.00092825,             0.00092825,             0.00092825
                     28,                0.86906,                0.41559,                0.78411,                0.90024,                0.78272,                0.81641,                0.56397,                 0.8203,                0.41327,                0.78476,             0.00091588,             0.00091588,             0.00091588
                     29,                0.86552,                0.41452,                0.78533,                0.84772,                0.73194,                0.79451,                0.54162,                0.83731,                0.43234,                0.78756,              0.0009035,              0.0009035,              0.0009035
                     30,                0.87975,                0.42298,                0.78384,                 0.8083,                0.75932,                0.79643,                0.53612,                0.82563,                0.41624,                0.78856,             0.00089112,             0.00089112,             0.00089112
                     31,                0.86944,                0.41455,                0.78206,                0.90855,                0.76631,                0.80331,                0.53567,                0.84242,                  0.422,                0.78724,             0.00087875,             0.00087875,             0.00087875
